Region,area,bedrooms,name,price,url,where,Latitude,Longtitude,City
sfc,,2,"$ 3,300---Two bedrooms w/1 1/2 bathrooms",3300,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-two-bedrooms-bathrooms/6858418912.html,inner sunset / UCSF,37.7593,-122.4836,daly city
sfc,,2,650 Delancey Streetis one of the most coveted addresses in South Beach,3500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-650-delancey-streetis-one/6858418680.html,SOMA / south beach,37.783232,-122.38937,san francisco
sfc,755ft2,1,►►Modern+Convenient 1BR Waterfront Condo in the Heart of South Beach,3800,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modernconvenient-1br/6858417064.html,SOMA / south beach,37.788104,-122.39028,san francisco
sfc,,2,650 Delancey Streetis one of the most coveted addresses in South Beach,3500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-650-delancey-streetis-one/6858416854.html,SOMA / south beach,37.783232,-122.38937,san francisco
sfc,570ft2,1,Like the area with its kool shops and cafes? Looking for a nice apt cl,2695,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-like-the-area-with-its/6858416474.html,hayes valley,37.774799,-122.424343,san francisco
sfc,354ft2,0,Great view from nice high rise studio! Parking available for rent-smal,1950,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-view-from-nice-high/6858416162.html,lower nob hill,37.785582,-122.414617,san francisco
sfc,,2,650 Delancey Streetis one of the most coveted addresses in South Beach,3500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-650-delancey-streetis-one/6858415046.html,SOMA / south beach,37.783232,-122.38937,san francisco
sfc,570ft2,1,Like the area with its kool shops and cafes? Looking for a nice apt?,2695,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-like-the-area-with-its/6853629379.html,hayes valley,37.774799,-122.424343,san francisco
sfc,,1,Remodeled 1BR/1BA + Bonus room w/Kitchen,1695,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-1br-1ba-bonus/6858414458.html,sunset / parkside,37.738192,-122.501142,daly city
sfc,725ft2,1,"MODERN, ALMOST NEW GARDEN, FULL OF LIGHTS 1 BDR/1BATH APARTMENT IN SUN",2025,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-almost-new-garden/6858413956.html,sunset / parkside,37.750085,-122.485857,daly city
sfc,,2,650 Delancey Streetis one of the most coveted addresses in South Beach,3500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-650-delancey-streetis-one/6858413127.html,SOMA / south beach,37.783232,-122.38937,san francisco
sfc,,2,Beautifully remodeled Bernal Heights home,780,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautifully-remodeled/6858413109.html,San Francisco CA,37.7195,-122.4411,daly city
